rank	selection	uniprot	gene	protein_name	organism	chosen_pdb	matched_chain	resolution_A	method	pdb_release_date	identity	coverage	pdb_vendor_intersection	vendor_accession	vendor_range	pdb_map_uniprot_range	antigen_catalog	antigen_url	biotinylated	molecular_weight_kda	product_form	expression_host	tags	quantity_ug	concentration_mg_per_ml	price_usd	pack_size	buffer	reconstitution	storage_temp	purity_percent	endotoxin_eu_per_mg	validating_assays
153	biotin	Q92956	TNFRSF14	Isoform 1 of Tumor necrosis factor receptor superfamily member 14	Homo sapiens	1JMA	B	2.65	X-RAY DIFFRACTION	2001-09-26	1.000	0.988	39-200	Q92956-1	39-202	39-200	HVM-H82F6	https://www.acrobiosystems.com/products/protein/hvem-human-hvm-h82f6	True	45.5	Lyophilized	HEK293	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					50 mM Tris, 100 mM Glycine, 25 mM Arginine, 150 mM NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (reconstituted, sterile)	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
154	biotin	P04626	ERBB2	Isoform 1 of Receptor tyrosine-protein kinase erbB-2	Homo sapiens	8VQD	A	2.61	ELECTRON MICROSCOPY	2024-10-09	0.997	1.000	23-652	P04626-1	23-652	23-652	HE2-H822R	https://www.acrobiosystems.com/products/protein/her2-human-he2-h822r	True	70.2	Lyophilized	HEK293	His Tag, Biotin					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 24 months (lyophilized); -70°C for 12 months (after reconstitution, sterile)	95.0	1000.0	HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
155	biotin	P05362	ICAM1	Intercellular adhesion molecule 1	Homo sapiens	7BG7	B	2.40	ELECTRON MICROSCOPY	2021-05-19	1.000	1.000	28-480	P05362-1	28-480	28-480	IC1-H82E8	https://www.acrobiosystems.com/products/protein/icam-1-human-ic1-h82e8	True	53.1	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
156	biotin	Q9Y6W8	ICOS	Isoform 1 of Inducible T-cell costimulator	Homo sapiens	7JOO	C	2.40	X-RAY DIFFRACTION	2020-10-14	0.975	0.975	21-138	Q9Y6W8-1	21-141	21-138	ICS-H82E5	https://www.acrobiosystems.com/products/protein/icos-human-ics-h82e5	True	17.4	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		HABA assay / binding ELISA
157	biotin	P01573	Ifna2	Interferon alpha-2	Mus musculus	7E0E	A	2.10	X-RAY DIFFRACTION	2021-04-07	0.994	1.000	24-190	P01573	24-190	24-190	IFA-M82E3	https://www.acrobiosystems.com/products/protein/ifn-alpha-2-mouse-ifa-m82e3	True	23.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
158	biotin	P01563	IFNA2	Interferon alpha-2	Homo sapiens	3S9D	A	2.00	X-RAY DIFFRACTION	2011-08-31	0.982	1.000	24-188	P01563	24-188	24-188	IFB-H82E3	https://www.acrobiosystems.com/products/protein/ifn-alpha-2b-human-ifb-h82e3	True	23.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
159	biotin	P17181	IFNAR1	Isoform 1 of Interferon alpha/beta receptor 1	Homo sapiens	3SE4	A	3.50	X-RAY DIFFRACTION	2011-08-31	1.000	1.000	28-436	P17181-1	28-436	28-436	IF1-H82E3	https://www.acrobiosystems.com/products/protein/ifn-alpha-beta-r1-human-if1-h82e3	True	50.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0		SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
160	biotin	P01574	IFNB1	Interferon beta	Homo sapiens	1AU1	A	2.20	X-RAY DIFFRACTION	1998-06-17	1.000	1.000	22-187	P01574	22-187	22-187	IFB-H82E4	https://www.acrobiosystems.com/products/protein/ifn-beta-human-ifb-h82e4	True	23.9	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
161	biotin	P05000	IFNW1	Interferon omega-1	Homo sapiens	3SE4	B	3.50	X-RAY DIFFRACTION	2011-08-31	0.994	1.000	22-195	P05000	22-195	22-195	IFA-H82E3	https://www.acrobiosystems.com/products/protein/ifn-omega-human-ifa-h82e3	True	23.9	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
162	biotin	P05019	IGF1	Isoform 1 of Insulin-like growth factor 1	Homo sapiens	1WQJ	I	1.60	X-RAY DIFFRACTION	2005-03-01	1.000	1.000	49-118	P05019-1	49-118	49-118	IG1-H82Q6	https://www.acrobiosystems.com/products/protein/igf-i-human-ig1-h82q6	True	11.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		HABA assay / binding ELISA
163	biotin	P08069	IGF1R	Insulin-like growth factor 1 receptor	Homo sapiens	8TAN	A	3.05	ELECTRON MICROSCOPY	2024-01-17	1.000	1.000	31-932	P08069-1	31-932	31-932	IGR-H82E3	https://www.acrobiosystems.com/products/protein/igf-i-r-igf-1-r-human-igr-h82e3	True	106.6	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	90.0		HABA assay / binding ELISA
164	biotin	P01344	IGF2	Isoform 1 of Insulin-like growth factor 2	Homo sapiens	3KR3	D	2.20	X-RAY DIFFRACTION	2010-06-16	1.000	1.000	25-91	P01344-1	25-91	25-91	IG2-H82F9	https://www.acrobiosystems.com/products/protein/igf-ii-human-ig2-h82f9	True	35.3	Lyophilized	HEK293	Avi tag (Avitag™) at the N-terminus, followed by a human IgG1 Fc tag					Tris with Glycine, Arginine and NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
165	biotin	P22692	IGFBP4	Isoform 1 of Insulin-like growth factor-binding protein 4	Homo sapiens	2DSP	B	2.50	X-RAY DIFFRACTION	2006-08-22	1.000	0.388	22-113	P22692-1	22-258	22-113	IG4-H82D3	https://www.acrobiosystems.com/products/protein/igfbp-4-human-ig4-h82d3	True	30.7	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™), Flag tag at the N-terminus, polyhistidine tag at the C-terminus					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
166	biotin	P24593	IGFBP5	Insulin-like growth factor-binding protein 5	Homo sapiens	7UFG	C	3.28	ELECTRON MICROSCOPY	2022-09-28	1.000	1.000	21-272	P24593	21-272	21-272	IG5-H82D3	https://www.acrobiosystems.com/products/protein/igfbp-5-human-ig5-h82d3	True	33.3	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the N-terminus, Flag tag, polyhistidine tag at the C-terminus					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	90.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
167	biotin	Q16270	IGFBP7	Isoform 1 of Insulin-like growth factor-binding protein 7	Homo sapiens	8IVD	A	3.24	X-RAY DIFFRACTION	2024-01-17	0.992	0.522	30-161	Q16270-1	30-282	30-161	IG7-H82F9	https://www.acrobiosystems.com/products/protein/igfbp-7-human-ig7-h82f9	True	54.3	Lyophilized	HEK293	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	95.0		SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
168	biotin	Q9NPH3	IL1RAP	Isoform 1 of Interleukin-1 receptor accessory protein	Homo sapiens	4DEP	C	3.10	X-RAY DIFFRACTION	2012-03-21	1.000	1.000	21-359	Q9NPH3-1	21-359	21-359	ILP-H82E5	https://www.acrobiosystems.com/products/protein/il-1-racp-human-ilp-h82e5	True	42.7	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
169	biotin	Q9HB29	IL1RL2	Isoform 1 of Interleukin-1 receptor-like 2	Homo sapiens	9ETH	R	2.30	X-RAY DIFFRACTION	2025-02-26	1.000	0.636	20-220	Q9HB29-1	20-335	20-220	IL2-H82E9	https://www.acrobiosystems.com/products/protein/il-1-rrp2-human-il2-h82e9	True	39.5	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA
170	biotin	P01583	IL1A	Interleukin-1 alpha	Homo sapiens	5UC6	A	2.10	X-RAY DIFFRACTION	2017-10-11	1.000	1.000	113-271	P01583-1	113-271	113-271	ILA-H82E7	https://www.acrobiosystems.com/products/protein/il-1-alpha-human-ila-h82e7	True	21.6	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA
171	biotin	P01584	IL1B	Interleukin-1 beta	Homo sapiens	8RYS	A	1.16	X-RAY DIFFRACTION	2024-03-06	1.000	1.000	117-269	P01584-1	117-269	117-269	ILB-H82E9	https://www.acrobiosystems.com/products/protein/il-1-beta-human-ilb-h82e9	True	21.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
172	biotin	P22301	IL10	Interleukin-10	Homo sapiens	2ILK	A	1.60	X-RAY DIFFRACTION	1996-10-14	1.000	1.000	19-178	NP_000563.1	19-178	19-178	IL0-H82Q3	https://www.acrobiosystems.com/products/protein/il-10-human-il0-h82q3	True	22.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (reconstituted, sterile)	90.0	1000.0	HABA assay / binding ELISA
173	biotin	Q13651	IL10RA	Interleukin-10 receptor subunit alpha	Homo sapiens	1Y6K	R	2.52	X-RAY DIFFRACTION	2005-12-20	0.972	1.000	22-235	Q13651-1	22-235	22-235	ILR-H82F6	https://www.acrobiosystems.com/products/protein/il-10-r-alpha-human-ilr-h82f6	True	52.5	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					50 mM Tris, 100 mM Glycine, 25 mM Arginine, 150 mM NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
174	biotin	P20809	IL11	Isoform 1 of Interleukin-11	Homo sapiens	8QY4	A	3.06	ELECTRON MICROSCOPY	2024-02-21	1.000	1.000	22-199	P20809-1	22-199	22-199	IL1-H82E3	https://www.acrobiosystems.com/products/protein/il-11-human-il1-h82e3	True	22.7	Lyophilized	HEK293	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, 0.5 M Arginine, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
175	biotin	Q14626	IL11RA	Isoform HCR1 of Interleukin-11 receptor subunit alpha	Homo sapiens	8QY4	B	3.06	ELECTRON MICROSCOPY	2024-02-21	1.000	1.000	24-370	Q14626-1	24-370	24-370	ILR-H82F5	https://www.acrobiosystems.com/products/protein/il-11-r-alpha-human-ilr-h82f5	True	66.0	Lyophilized	HEK293	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
176	biotin	P42701	IL12RB1	Isoform 1 of Interleukin-12 receptor subunit beta-1	Homo sapiens	8OE4	D	3.60	ELECTRON MICROSCOPY	2024-02-07	1.000	1.000	24-540	P42701-1	24-540	24-540	ILB-H52E1	https://www.acrobiosystems.com/products/protein/il-12-r-beta-1-human-ilb-h52e1	True	60.7	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
177	biotin	Q99665	IL12RB2	Isoform 1 of Interleukin-12 receptor subunit beta-2	Homo sapiens	8YI7	C	3.57	ELECTRON MICROSCOPY	2024-07-24	1.000	0.494	24-319	Q99665-1	24-622	24-319	ILB-H82E4	https://www.acrobiosystems.com/products/protein/il-12-r-beta-2-human-ilb-h82e4	True	71.1	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
178	biotin	P29460	IL12B	Interleukin-12 subunit beta	Homo sapiens	5MJ3	A	1.74	X-RAY DIFFRACTION	2017-01-11	1.000	1.000	23-328	P29460-1	23-328	23-328	NK2-H82E3	https://www.acrobiosystems.com/products/protein/il-12b-human-nk2-h82e3	True	38.3	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0		HABA assay / binding ELISA
179	biotin	P35225	IL13	Interleukin-13	Homo sapiens	3L5X	A	1.90	X-RAY DIFFRACTION	2010-04-14	1.000	1.000	21-132	AAK53823.1	21-132	21-132	IL3-H82E5	https://www.acrobiosystems.com/products/protein/il-13-human-il3-h82e5	True	15.9	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (reconstituted, sterile)	90.0		HABA assay / binding ELISA
180	biotin	P78552	IL13RA1	Isoform 1 of Interleukin-13 receptor subunit alpha-1	Homo sapiens	5E4E	C	3.00	X-RAY DIFFRACTION	2015-12-02	1.000	0.988	23-340	P78552-1	22-343	23-340	IL1-H82E8	https://www.acrobiosystems.com/products/protein/il-13-r-alpha-1-human-il1-h82e8	True	40.5	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -70°C (after reconstitution)	95.0		HABA assay / binding ELISA
181	biotin	Q14627	IL13RA2	Interleukin-13 receptor subunit alpha-2	Homo sapiens	3LB6	C	3.05	X-RAY DIFFRACTION	2010-03-16	1.000	1.000	27-343	Q14627-1	27-343	27-343	IL2-H82E6	https://www.acrobiosystems.com/products/protein/il-13-r-alpha-2-human-il2-h82e6	True	40.7	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
182	biotin	P40933	IL15	Isoform IL15-S48AA of Interleukin-15	Homo sapiens	2Z3Q	A	1.85	X-RAY DIFFRACTION	2007-09-04	1.000	1.000	49-162	P40933-1	49-162	49-162	IL5-H82E3	https://www.acrobiosystems.com/products/protein/il-15-human-il5-h82e3	True	16.5	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0		HABA assay / binding ELISA
183	biotin	Q13261	IL15RA	Isoform 1 of Interleukin-15 receptor subunit alpha	Homo sapiens	2Z3Q	B	1.85	X-RAY DIFFRACTION	2007-09-04	1.000	0.583	31-132	Q13261-1	31-205	31-132	ILA-H82F4	https://www.acrobiosystems.com/products/protein/il-15-r-alpha-human-ila-h82f4	True	46.6	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					Tris with Glycine, Arginine and NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
184	biotin	Q96F46	IL17RA	Isoform 1 of Interleukin-17 receptor A	Homo sapiens	5N9B	A	1.90	X-RAY DIFFRACTION	2018-06-13	1.000	0.993	33-318	Q96F46-1	33-320	33-318	ILA-H82F1	https://www.acrobiosystems.com/products/protein/il-17-ra-human-ila-h82f1	True	61.9	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					Tris with Glycine, Arginine and NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
185	biotin	Q8NAC3	IL17RC	Isoform 2 of Interleukin-17 receptor C	Homo sapiens	7UWN	G	3.01	ELECTRON MICROSCOPY	2022-07-27	0.996	1.000	21-465	Q8NAC3-2	21-465	21-465	ILC-H82F9	https://www.acrobiosystems.com/products/protein/il-17-rc-human-ilc-h82f9	True	77.6	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
186	biotin	Q16552	IL17A	Interleukin-17A	Homo sapiens	5HI4	A	1.80	X-RAY DIFFRACTION	2016-08-31	1.000	1.000	24-155	Q16552-1	24-155	24-155	ILA-H82Q1	https://www.acrobiosystems.com/products/protein/il-17a-human-ila-h82q1	True	17.8	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
187	biotin	Q9H293	IL25	Interleukin-25	Homo sapiens	7UWJ	A	3.20	ELECTRON MICROSCOPY	2022-07-27	1.000	1.000	33-177	NP_073626.1	33-177	33-177	IL5-H82E1	https://www.acrobiosystems.com/products/protein/il-17e-human-il5-h82e1	True	20.4	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
188	biotin	Q96PD4	IL17F	Interleukin-17F	Homo sapiens	6HGO	A	2.10	X-RAY DIFFRACTION	2019-11-20	1.000	1.000	31-163	Q96PD4-1	31-163	31-163	ILF-H82Q9	https://www.acrobiosystems.com/products/protein/il-17f-human-ilf-h82q9	True	18.5	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
189	biotin	O95256	IL18RAP	Isoform 1 of Interleukin-18 receptor accessory protein	Homo sapiens	3WO4	C	3.10	X-RAY DIFFRACTION	2014-12-17	1.000	1.000	20-356	O95256-1	20-356	20-356	ILB-H82E8	https://www.acrobiosystems.com/products/protein/il-18-r-beta-human-ilb-h82e8	True	42.0	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0		HABA assay / binding ELISA
190	biotin	Q13478	IL18R1	Interleukin-18 receptor 1	Homo sapiens	4R6U	A	2.80	X-RAY DIFFRACTION	2014-10-15	1.000	1.000	19-329	Q13478-1	19-329	19-329	IL1-H82E7	https://www.acrobiosystems.com/products/protein/il-18-r1-human-il1-h82e7	True	39.3	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
